Год, Построено
1659, 1
1692, 2
1696, 1
1697, 1
1698, 1
1753, 1
1785, 1
1786, 1
1800, 1
1808, 1
1810, 1
1815, 1
1820, 2
1822, 1
1826, 2
1830, 4
1840, 2
1847, 1
1850, 4
1853, 1
1855, 1
1856, 1
1860, 17
1864, 1
1866, 1
1867, 4
1870, 14
1874, 2
1875, 9
1876, 7
1877, 2
1878, 2
1880, 15
1882, 3
1883, 2
1884, 1
1885, 6
1886, 5
1887, 5
1888, 7
1889, 6
1890, 52
1891, 4
1892, 8
1893, 8
1894, 4
1895, 9
1896, 7
1897, 3
1898, 7
1899, 13
1900, 76
1901, 9
1902, 27
1903, 19
1904, 21
1905, 35
1906, 27
1907, 23
1908, 31
1909, 24
1910, 81
1911, 29
1912, 73
1913, 60
1914, 94
1915, 24
1916, 28
1917, 300
1919, 1
1920, 5
1921, 1
1922, 2
1923, 4
1924, 10
1925, 28
1926, 89
1927, 85
1928, 120
1929, 79
1930, 68
1931, 55
1932, 35
1933, 47
1934, 51
1935, 45
1936, 47
1937, 52
1938, 65
1939, 74
1940, 67
1941, 29
1942, 2
1943, 12
1944, 11
1945, 12
1946, 8
1947, 19
1948, 32
1949, 100
1950, 133
1951, 139
1952, 170
1953, 170
1954, 157
1955, 212
1956, 305
1957, 520
1958, 805
1959, 855
1960, 1044
1961, 987
1962, 1012
1963, 972
1964, 858
1965, 888
1966, 841
1967, 737
1968, 700
1969, 685
1970, 598
1971, 583
1972, 537
1973, 482
1974, 497
1975, 433
1976, 361
1977, 367
1978, 332
1979, 358
1980, 332
1981, 300
1982, 276
1983, 239
1984, 239
1985, 233
1986, 174
1987, 230
1988, 198
1989, 191
1990, 143
1991, 126
1992, 153
1993, 126
1994, 136
1995, 207
1996, 206
1997, 262
1998, 189
1999, 234
2000, 231
2001, 271
2002, 287
2003, 256
2004, 282
2005, 209
2006, 255
2007, 250
2008, 227
2009, 242
2010, 129
2011, 80
2012, 45
2013, 23
2015, 1
