Год: 1659, Построено: 1
Год: 1692, Построено: 2
Год: 1696, Построено: 1
Год: 1697, Построено: 1
Год: 1698, Построено: 1
Год: 1753, Построено: 1
Год: 1785, Построено: 1
Год: 1786, Построено: 1
Год: 1800, Построено: 1
Год: 1808, Построено: 1
Год: 1810, Построено: 1
Год: 1815, Построено: 1
Год: 1820, Построено: 2
Год: 1822, Построено: 1
Год: 1826, Построено: 2
Год: 1830, Построено: 4
Год: 1840, Построено: 2
Год: 1847, Построено: 1
Год: 1850, Построено: 4
Год: 1853, Построено: 1
Год: 1855, Построено: 1
Год: 1856, Построено: 1
Год: 1860, Построено: 17
Год: 1864, Построено: 1
Год: 1866, Построено: 1
Год: 1867, Построено: 4
Год: 1870, Построено: 14
Год: 1874, Построено: 2
Год: 1875, Построено: 9
Год: 1876, Построено: 7
Год: 1877, Построено: 2
Год: 1878, Построено: 2
Год: 1880, Построено: 15
Год: 1882, Построено: 3
Год: 1883, Построено: 2
Год: 1884, Построено: 1
Год: 1885, Построено: 6
Год: 1886, Построено: 5
Год: 1887, Построено: 5
Год: 1888, Построено: 7
Год: 1889, Построено: 6
Год: 1890, Построено: 52
Год: 1891, Построено: 4
Год: 1892, Построено: 8
Год: 1893, Построено: 8
Год: 1894, Построено: 4
Год: 1895, Построено: 9
Год: 1896, Построено: 7
Год: 1897, Построено: 3
Год: 1898, Построено: 7
Год: 1899, Построено: 13
Год: 1900, Построено: 76
Год: 1901, Построено: 9
Год: 1902, Построено: 27
Год: 1903, Построено: 19
Год: 1904, Построено: 21
Год: 1905, Построено: 35
Год: 1906, Построено: 27
Год: 1907, Построено: 23
Год: 1908, Построено: 31
Год: 1909, Построено: 24
Год: 1910, Построено: 81
Год: 1911, Построено: 29
Год: 1912, Построено: 73
Год: 1913, Построено: 60
Год: 1914, Построено: 94
Год: 1915, Построено: 24
Год: 1916, Построено: 28
Год: 1917, Построено: 300
Год: 1919, Построено: 1
Год: 1920, Построено: 5
Год: 1921, Построено: 1
Год: 1922, Построено: 2
Год: 1923, Построено: 4
Год: 1924, Построено: 10
Год: 1925, Построено: 28
Год: 1926, Построено: 89
Год: 1927, Построено: 85
Год: 1928, Построено: 120
Год: 1929, Построено: 79
Год: 1930, Построено: 68
Год: 1931, Построено: 55
Год: 1932, Построено: 35
Год: 1933, Построено: 47
Год: 1934, Построено: 51
Год: 1935, Построено: 45
Год: 1936, Построено: 47
Год: 1937, Построено: 52
Год: 1938, Построено: 65
Год: 1939, Построено: 74
Год: 1940, Построено: 67
Год: 1941, Построено: 29
Год: 1942, Построено: 2
Год: 1943, Построено: 12
Год: 1944, Построено: 11
Год: 1945, Построено: 12
Год: 1946, Построено: 8
Год: 1947, Построено: 19
Год: 1948, Построено: 32
Год: 1949, Построено: 100
Год: 1950, Построено: 133
Год: 1951, Построено: 139
Год: 1952, Построено: 170
Год: 1953, Построено: 170
Год: 1954, Построено: 157
Год: 1955, Построено: 212
Год: 1956, Построено: 305
Год: 1957, Построено: 520
Год: 1958, Построено: 805
Год: 1959, Построено: 855
Год: 1960, Построено: 1044
Год: 1961, Построено: 987
Год: 1962, Построено: 1012
Год: 1963, Построено: 972
Год: 1964, Построено: 858
Год: 1965, Построено: 888
Год: 1966, Построено: 841
Год: 1967, Построено: 737
Год: 1968, Построено: 700
Год: 1969, Построено: 685
Год: 1970, Построено: 598
Год: 1971, Построено: 583
Год: 1972, Построено: 537
Год: 1973, Построено: 482
Год: 1974, Построено: 497
Год: 1975, Построено: 433
Год: 1976, Построено: 361
Год: 1977, Построено: 367
Год: 1978, Построено: 332
Год: 1979, Построено: 358
Год: 1980, Построено: 332
Год: 1981, Построено: 300
Год: 1982, Построено: 276
Год: 1983, Построено: 239
Год: 1984, Построено: 239
Год: 1985, Построено: 233
Год: 1986, Построено: 174
Год: 1987, Построено: 230
Год: 1988, Построено: 198
Год: 1989, Построено: 191
Год: 1990, Построено: 143
Год: 1991, Построено: 126
Год: 1992, Построено: 153
Год: 1993, Построено: 126
Год: 1994, Построено: 136
Год: 1995, Построено: 207
Год: 1996, Построено: 206
Год: 1997, Построено: 262
Год: 1998, Построено: 189
Год: 1999, Построено: 234
Год: 2000, Построено: 231
Год: 2001, Построено: 271
Год: 2002, Построено: 287
Год: 2003, Построено: 256
Год: 2004, Построено: 282
Год: 2005, Построено: 209
Год: 2006, Построено: 255
Год: 2007, Построено: 250
Год: 2008, Построено: 227
Год: 2009, Построено: 242
Год: 2010, Построено: 129
Год: 2011, Построено: 80
Год: 2012, Построено: 45
Год: 2013, Построено: 23
Год: 2015, Построено: 1
